race_id,馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
202206010101,ニシノアナ,横山琉人,15,1:12.5,6.8,2-2,1,456,4,牝,3,51,37.6,5,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,トラストパッキャオ,菅原明良,10,1:12.5,57.2,1-1,2,458,2,牝,3,54,37.7,2,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,マイネルシトラス,柴田大知,4,1:12.5,3.7,4-3,3,518,-2,牡,3,56,37.3,1,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ピカリエ,伊藤工真,2,1:12.8,16.0,10-7,4,486,6,牝,3,54,37.2,8,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ブラッドライン,Ｍ．デム,16,1:13.2,10.0,4-5,5,478,-2,牡,3,56,38.0,4,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,デザートサファリ,丹内祐次,8,1:13.4,6.3,2-3,6,470,-4,牡,3,56,38.4,5,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ニシノスーベニア,内田博幸,9,1:13.7,14.3,7-7,7,536,28,牡,3,56,38.4,6,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ペルペテュエル,戸崎圭太,11,1:13.7,6.2,7-7,8,472,0,牡,3,56,38.4,4,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,アイアムラベンダー,松岡正海,7,1:13.9,10.7,4-5,9,462,-2,牝,3,54,38.7,3,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,オールフラッグ,横山武史,6,1:13.9,12.6,10-11,10,478,10,牡,3,56,38.3,1,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,サノプリ,小林凌大,1,1:14.0,258.1,9-7,11,424,6,牝,3,51,38.5,7,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ヤマタケコーチャン,丸田恭介,14,1:14.2,239.2,14-15,12,444,2,牡,3,56,38.3,3,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,キタノドーベル,武士沢友,5,1:14.4,273.2,14-13,13,448,-2,牝,3,54,38.5,7,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,アイスケイブ,三浦皇成,13,1:14.5,25.3,16-15,14,432,10,牝,3,54,38.4,6,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,ミュージアムピース,黛弘人,12,1:15.3,67.9,12-13,15,464,24,牡,3,56,39.5,2,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010101,コンセプシオン,斎藤新,3,1:16.0,32.8,12-11,16,528,4,牝,3,54,40.2,,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202206010102,シンボリックレルム,団野大成,1,1:56.6,15.1,5-6-6-5,1,484,6,牝,3,54,39.4,4,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202206010102,タマモタップダンス,永野猛蔵,8,1:56.6,1.5,3-3-3-3,2,490,-2,牝,3,51,39.7,5,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202206010102,ハッピーバレー,嶋田純次,10,1:56.9,8.5,3-3-3-3,3,462,0,牝,3,54,40.0,6,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202206010102,フジシラユキヒメ,菅原明良,12,1:57.1,17.1,1-1-1-1,4,474,-2,牝,3,54,40.5,8,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202206010102,レオミネルバ,津村明秀,16,1:57.2,92.4,2-2-2-2,5,482,4,牝,3,54,40.5,7,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
202206010102,ノーブルグレイシャ,横山琉人,14,1:57.6,72.1,6-6-6-6,6,472,0,牝,3,51,40.3,6,3歳未勝利,2022年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
