race_id,馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
202006010101,オイデヤスダイジン,伊藤工真,7,1:13.3,3.6,5-5,1,460,2,牝,3,54,38.9,2,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,グルアーブ,柴田善臣,1,1:13.3,17.2,12-11,2,432,4,牝,3,54,38.0,5,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,トーレスデルパイネ,岩部純二,3,1:13.7,199.0,9-9,3,458,0,牝,3,54,38.7,12,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,デュープス,武士沢友,6,1:13.8,50.4,6-6,4,418,0,牝,3,54,39.2,8,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,ディヴィニティ,マーフィ,12,1:13.8,1.6,4-4,5,536,-2,牝,3,54,39.7,1,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,ノヘア,北村宏司,13,1:13.9,74.3,2-3,6,428,8,牝,3,54,39.9,9,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,エクメディノツルギ,内田博幸,14,1:14.2,121.7,6-8,7,424,0,牝,3,54,39.6,11,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,シンキングアイル,菅原明良,5,1:14.4,82.2,12-13,8,460,-2,牝,3,52,39.1,10,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,ラヴアンドゲーム,大野拓弥,10,1:14.7,28.8,2-2,9,434,0,牝,3,54,40.7,6,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,サノレーヌ,藤田菜七,9,1:14.8,9.5,1-1,10,438,0,牝,3,51,40.9,3,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,セルレア,菊沢一樹,4,1:14.9,14.5,6-6,11,464,10,牝,3,53,40.2,4,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,スルーザリミッツ,三浦皇成,2,1:14.9,31.4,16-15,12,424,-4,牝,3,54,39.3,7,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,ラブカワールド,小林凌大,15,1:15.3,474.2,15-16,13,436,4,牝,3,51,39.9,15,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,シラカワカツコ,山田敬士,16,1:15.4,233.1,9-10,14,404,4,牝,3,51,40.4,13,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
202006010101,イズジョーボヌール,菅原隆一,8,1:15.6,561.3,12-13,15,450,2,牝,3,54,40.3,16,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
